"ID";"№ реестра";"Наименование";"Обозначение типа";"Модификация";"Зав. номер";"Дата поверки";"Действ. до";"Пригоден";"Поверитель";"№ документа";"Производитель";"Время сохранения";"Поисковый запрос";"№ строки";"Id_ПУ";"Номер договора";"Код ЭДО";"Балансовая принадлежность";"Эксплуатационная ответственность";"МПИ"
"2-79743845";"58382-14";"Счетчик электрической энергии электронный трехфазный НЕВА 3";"";"НЕВА 303 1S0 230V 5(100)А";"024992";"03.06.2015";"03.06.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-82855023";"58382-14";"Счетчик электрической энергии электронный трехфазный НЕВА 3";"";"НЕВА 303 1S0 220V 5(60)А";"024992";"27.03.2015";"27.03.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-77617174";"56832-14";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 124 1.0 AS OP 230 5(60)A";"024992";"15.07.2015";"15.07.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"1-94275677";"55522-13";"Интеллектуальные приборы учета электроэнергии";"РиМ 384.01/2, РиМ 384.02/2";"мод. РиМ 384.02/2";"024992";"10.09.2021";"09.09.2031";"1";"ФБУ ""НОВОСИБИРСКИЙ ЦСМ""";"С-НН/10-09-2021/94275677";"Другие";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"1-133734083";"55522-13";"Интеллектуальные приборы учета электроэнергии";"РиМ 384.01/2, РиМ 384.02/2";"РиМ 384.02";"024992";"17.02.2022";"16.02.2032";"1";"ФБУ ""НОВОСИБИРСКИЙ ЦСМ""";"С-НН/17-02-2022/133734083";"Другие";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"1-286818967";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART-03 RN";"21671885";"10.10.2023";"09.10.2033";"1";"ООО ""НПК""";"С-ГЕП/10-10-2023/286818967";"Меркурий (Инкотекс)";"2026-03-04 11:43:47";"21671885";"84";"0154429950";"";"";"Потребитель";"Энергосистема";"10.0"
"1-237001118";"77308-20";"Счетчики электрической энергии трехфазные многофункциональные";"РОТЕК РТМ-03";"РОТЕК РТМ-03 D1D4N-31Y30-O21IS";"36030011836";"06.04.2023";"05.04.2039";"1";"ООО ""МЦМ""";"С-ДИО/06-04-2023/237001118";"Другие";"2026-03-04 11:44:14";"36030011836";"89";"029SKPZHFI";"";"";"Потребитель";"Энергосистема";"16.0"
"1-323020178";"47560-11";"Счетчики электрической энергии статические трехфазные";"""Меркурий 236""";"Меркурий 236 ART-02 PQRS";"49551680";"05.02.2024";"04.02.2040";"1";"ФБУ ""САРАТОВСКИЙ ЦСМ ИМ. Б.А. ДУБОВИКОВА""";"С-ВУ/05-02-2024/323020178";"Меркурий (Инкотекс)";"2026-03-04 11:44:18";"49551680";"90";"02AVSTFP1T";"";"";"Потребитель";"Энергосистема";"16.0"
"1-292711447";"66753-17";"Счетчики электрической энергии статические однофазные";"ФОБОС 1";"ФОБОС 1 230В 5(80)А IQOLS-C";"10177454";"07.11.2023";"06.11.2039";"1";"ООО ""ТЕЛЕМАТИЧЕСКИЕ РЕШЕНИЯ""";"С-ЕКК/07-11-2023/292711447";"Другие";"2026-03-04 11:44:31";"10177454";"93";"0300658207";"";"";"Не задано";"";"8.0"
"2-67709120";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(60)А 50Hz";"302845";"09.07.2014";"09.07.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:00";"302845";"100";"0317621925";"";"";"Не задано";"";"16.0"
"2-68116309";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"302845";"26.09.2014";"26.09.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:00";"302845";"100";"0317621925";"";"";"Не задано";"";"16.0"
"2-73361697";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 230V 5(60)А 50Hz";"302845";"02.10.2015";"02.10.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:00";"302845";"100";"0317621925";"";"";"Не задано";"";"16.0"
"2-73900256";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 103 1S0 230V 5(60)A (5din)";"302845";"25.09.2015";"25.09.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:00";"302845";"100";"0317621925";"";"";"Не задано";"";"16.0"
"1-16128838";"37699-08";"Счетчики электрической энергии однофазные статические многотарифные";"СОЭБ-2П-65, СОЭБ-2П-100";"СОЭБ-2ПДР-65";"302845";"22.10.2020";"21.10.2030";"1";"ООО ""ЦМ""";"15705";"Другие";"2026-03-04 11:45:00";"302845";"100";"0317621925";"";"";"Не задано";"";"16.0"
"2-83166205";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные СЕ303 ";"";"CE303 S31 746-JPVZ";"009235089709670";"20.03.2015";"20.03.2031";"1";"ОАО ""Концерн Энергомера""";"б/н";"Энергомера";"2026-03-04 11:45:03";"009235089709670";"101";"0317930485";"";"";"Не задано";"";"16.0"
"1-93241374";"12260-90";"Счетчики электрической энергии однофазные индукционные";"СО-И449М1, СО-И449М2 (ЗАО ""Вымпелэнерго"" только СО-И449М2)";"СО-И449М1-2";"02350";"02.09.2021";"";"";"ФБУ ""ЦСМ Татарстан""";"И-АМ/02-09-2021/93241374";"Другие";"2026-03-04 11:45:21";"02350";"103";"0320879340";"";"";"Не задано";"";"16.0"
"2-67713114";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(60)А 50Hz";"300365";"10.07.2014";"10.07.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:29";"300365";"104";"0321457482";"";"";"Не задано";"";"16.0"
"2-68101448";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"300365";"25.09.2014";"25.09.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:29";"300365";"104";"0321457482";"";"";"Не задано";"";"16.0"
"2-73035836";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 230V 5(60)А 50Hz";"300365";"08.10.2015";"08.10.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:29";"300365";"104";"0321457482";"";"";"Не задано";"";"16.0"
"2-74062682";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 103 1S0 230V 5(60)A (5din)";"300365";"23.09.2015";"23.09.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:45:29";"300365";"104";"0321457482";"";"";"Не задано";"";"16.0"
"1-286818946";"25473-07";"Счетчики электрической энергии";"Энергомера ЦЭ6807П";"Энергомера ЦЭ6807П";"0712980707673432";"09.10.2023";"08.10.2039";"1";"ООО ""НПК""";"С-ГЕП/09-10-2023/286818946";"Инкотекс";"2026-03-04 11:45:43";"0712980707673432";"107";"0322963489";"";"";"Не задано";"";"6.0"
"2-122686945";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные";"";"CE303 S31 745 JPVZ";"009227120736801";"19.09.2017";"19.09.2033";"1";"АО ""Концерн Энергомера""";"б/н";"Другие";"2026-03-04 11:45:56";"009227120736801";"111";"0329521289";"";"";"Потребитель";"Энергосистема";"16.0"
